date,year,trt_yr,yr_mon,peak,stream,ratio,mean.chla,mean.afdm,mean.bf.ratio,mean.cp,mean.cn,mean.np,se.chla,se.afdm,se.bf.ratio,se.cp,se.cn,se.np,Light,mean.light2,mean.discharge2,mean.temp2,mean.din2,mean.srp2,mean.np2,light2.z,temp2.z,discharge2.z,addN2.z,addP2.z,addNP2.z
11/10/2012,2012,YR2,2012-11,notpeak,9,2,0.508783333,0.139922222,193.6864626,145.1355924,6.0688914,23.64347803,NA,0.041377778,NA,30.74385875,0.635042557,2.591782087,0.952642588,0.742585194,4.874582134,9.90657258,81.08064385,96.54619602,2.301109754,-0.216745578,0.098548765,-0.529433936,-0.737024026,1.315911461,-1.880456076
12/10/2012,2012,YR2,2012-12,notpeak,9,2,0.214805208,0.071,331.7281971,229.3513041,23.40648007,11.54554534,0.01024039,0.019886008,80.56299728,84.49513546,9.531538247,5.230659964,0.797817923,0.875230256,5.960206605,7.391194062,71.50788743,83.03346923,2.266669577,0.007008185,-0.599329026,-0.238242963,-0.863623751,1.201618484,-1.892769468
1/10/2013,2013,YR2,2013-01,notpeak,9,2,0.607425,0.047916667,NA,NA,9.208192768,NA,NA,NA,NA,NA,NA,NA,0.717809524,0.757813724,9.4064935,6.927618707,63.25985693,79.72418086,1.787379106,-0.189108102,-0.753655912,0.422564278,-0.987120161,1.170789083,-2.086748508
2/10/2013,2013,YR2,2013-02,notpeak,9,2,0.277754167,0.055611111,389.5131087,NA,NA,NA,0.134983334,NA,NA,NA,NA,NA,2.374065151,1.545937338,12.95013068,6.186515212,92.68075773,78.15315182,1.619634428,0.781536269,-1.023230323,0.885562444,-0.602282245,1.155702503,-2.167218765
3/10/2013,2013,YR2,2013-03,peak,9,2,0.701091319,0.140481482,326.3777427,158.7617679,7.983837997,19.78382893,0.223218294,0.042675266,138.9402303,19.13185416,0.692553697,1.104786842,2.644382365,2.509223758,8.980612027,5.192674344,94.73517798,60.65815061,4.217849387,1.440945898,-1.440474143,0.355465897,-0.580189632,0.96360722,-1.38568485
4/10/2013,2013,YR2,2013-04,peak,9,2,4.89444375,0.080237037,23.32053544,357.1792516,9.24202355,38.84088983,1.241715593,0.023821011,6.688423051,180.1361349,0.390362558,19.8219318,3.420740424,3.032561394,4.129816593,6.97030218,66.70287317,58.80614414,2.312508073,1.698851355,-0.73902108,-0.76954775,-0.933716775,0.94010271,-1.876421394
5/10/2013,2013,YR2,2013-05,peak,9,2,36.02237917,0.203114815,7.745973427,171.7557525,7.945850513,27.49668456,10.0822375,0.033716894,0.370213963,24.35419567,2.910738181,10.05049029,1.261784687,2.341262555,4.899388261,10.01231535,70.90861504,85.16512524,2.379031401,1.346620294,0.123845596,-0.522082912,-0.872104094,1.220833026,-1.853263615
6/10/2013,2013,YR2,2013-06,peak,9,2,39.71625,0.186277778,5.403325416,279.500226,6.252350821,45.54313869,7.394218986,0.020987042,1.229099471,77.65215021,0.262288219,14.22901287,0.254552262,0.758168474,3.73431027,12.51984747,93.82226025,101.3988684,2.867898715,-0.188470924,0.656349326,-0.915337994,-0.589947126,1.353085124,-1.700662964
7/10/2013,2013,YR2,2013-07,notpeak,9,2,8.372860417,0.107611111,48.0185483,300.5953045,6.566959222,45.7367408,4.500826368,0.006920724,24.83447375,24.43799028,0.423482777,1.693011623,0.302676672,0.278614467,4.387114465,13.95309995,107.9705899,90.31015723,2.329706122,-1.55138839,0.914588268,-0.682020312,-0.448413553,1.265297039,-1.870371258
9/10/2010,2010,PRE,2010-09,notpeak,10,8,0.239141146,0.254291667,-1.35738E+17,223.7589713,11.18185172,19.6739525,0.080722304,0.015723226,1.35738E+17,52.08213955,1.64281786,3.661427662,0.864971099,0.586683857,14.26331635,15.11333511,27.928775,2,30.92114375,-0.537573712,1.104898234,1.025437088,-1.810981858,-1.622846147,0.240963135
10/10/2010,2010,PRE,2010-10,notpeak,10,8,2.571172917,0.181798611,134.9678446,534.6183982,11.82168009,39.68413639,1.64693317,0.054920045,59.63943518,265.4332819,1.639711716,15.50484499,0.328805347,0.596888223,15.78861167,12.79328824,33.4147375,2,36.99488795,-0.514097161,0.707826023,1.172571387,-1.630267387,-1.622846147,0.387401619
11/10/2010,2010,PRE,2010-11,notpeak,10,8,0.502942708,0.2093125,349.117175,NA,NA,NA,0.108769108,0.097625527,112.2017924,NA,NA,NA,0.369776379,0.349290863,21.07045526,9.88167886,44.45035,2,49.2128875,-1.243596831,0.09255418,1.590497619,-1.342703699,-1.622846147,0.620423303
12/10/2010,2010,PRE,2010-12,notpeak,10,8,0.824177084,0.06775,76.68985192,NA,NA,NA,0.195985417,0.034138889,23.18530424,NA,NA,NA,0.462053509,0.415914944,24.96583074,6.841742367,126.34665,2.0182625,137.8713946,-1.005920337,-0.783375435,1.836165137,-0.290038125,-1.615955866,1.461598262
1/10/2011,2011,PRE,2011-01,notpeak,10,8,0.21415625,0.020587,103.670412,1655.988159,40.73478705,53.2980749,0.01946875,0.015743,82.93632959,815.7850352,13.61310635,37.83835656,0.397293788,0.429673648,22.58428259,4.876841398,188.38165,2.5077625,174.885793,-0.96161164,-1.589983296,1.690977268,0.112464913,-1.451348327,1.655781907
2/10/2011,2011,PRE,2011-02,notpeak,10,8,4.051122396,0.111203703,44.2304261,280.3485086,7.497995551,37.25571441,1.195259505,0.032281468,18.22648297,114.2645339,1.783845091,11.19189106,0.790733525,0.594013657,19.14665438,5.462809944,171.9175,2.94025,129.4712249,-0.520669644,-1.319643202,1.451841249,0.020308503,-1.330744167,1.410268169
3/10/2011,2011,PRE,2011-03,peak,10,8,2.6789,0.099722222,40.0973937,3396.576007,18.95379725,175.3020579,0.767805932,0.012491767,14.35689049,2006.159704,0.489655747,102.4593323,1.761540215,1.27613687,19.9059371,7.129685616,183.415,3.038625,133.4798554,0.520419403,-0.6851545,1.508161861,0.085541456,-1.305797273,1.435166138
4/10/2011,2011,PRE,2011-04,peak,10,8,4.30259375,0.177568722,120.2406082,429.4370354,12.66131232,33.73292803,2.054422105,0.072620111,95.38414634,63.33906017,0.865351579,2.697051995,1.846374167,1.803957191,24.63898787,8.82729328,165.1475,3.444125,108.4334906,0.991679431,-0.176281194,1.817080654,-0.020175209,-1.210843772,1.26547736
5/10/2011,2011,PRE,2011-05,peak,10,8,7.985432291,0.108354167,26.64121407,154.9665621,6.449580709,24.75908598,2.621521012,0.027116698,16.12988131,13.60345252,0.681116836,2.883671697,1.374164224,1.610269195,23.30606439,10.35642786,133.23,3.7125,79.46378066,0.837043947,0.204356371,1.736536814,-0.236583786,-1.15396509,1.011666585
6/10/2011,2011,PRE,2011-06,peak,10,8,2.602755556,0.1583,260.5671482,168.7858187,8.161809976,19.54225185,1.863650054,0.037000405,172.6108461,93.62671742,1.2059161,9.196510212,1.405602484,1.389883354,18.27429087,12.4087414,NA,NA,NA,0.63666339,0.635111043,1.384307569,NA,NA,NA
7/10/2011,2011,PRE,2011-07,notpeak,10,8,1.885872917,0.060305556,55.52066109,715.9054915,14.39611956,50.6358582,1.102294525,0.01998906,24.67178166,285.942937,3.726557281,17.45425979,0.778037753,1.091820118,16.77704959,14.40346721,291.9052616,100.6574302,7.318702041,0.308044776,0.990276112,1.260510463,0.55378197,1.347522028,-0.935681625
8/10/2011,2011,YR1,2011-08,notpeak,10,8,1.427059375,0.222928615,474.2893374,480.7383917,8.250684464,59.9858328,1.048931023,0.029818583,222.7294812,18.03831243,1.07627622,6.634587056,0.375394441,0.576716097,13.49909555,15.21393549,232.0369187,85.52450243,6.741420522,-0.560903533,1.120705047,0.945687146,0.322489394,1.224024976,-1.002770726
9/10/2011,2011,YR1,2011-09,notpeak,10,8,2.634770833,0.139074074,210.9881848,168.3886019,8.891440995,19.18953716,2.103279198,0.023004927,116.026705,20.72987405,0.61459525,2.987416632,0.24256234,0.308978391,12.66688793,14.63875668,167.6043313,56.52135065,5.108906287,-1.410556623,1.028882449,0.853536135,-0.005294978,0.910063884,-1.229186187
10/10/2011,2011,YR1,2011-10,notpeak,10,8,1.554255208,0.1125,102.5588764,172.1165237,6.534732059,27.12536251,0.643884737,0.010419444,59.48084982,31.86296368,1.486590869,1.888540125,0.26640663,0.254484485,16.33595937,12.22175668,142.352493,45.02884227,5.879135774,-1.674721093,0.598935277,1.221925912,-0.169846655,0.73775385,-1.114523565
11/10/2011,2011,YR1,2011-11,notpeak,10,8,1.239077778,0.14725,195.2915999,176.1545767,7.226949719,24.47026283,0.589151875,0.044932904,123.8638952,4.687442345,0.269176883,1.400199641,0.436307733,0.351357181,23.84398248,9.594434949,182.4830066,48.57547863,5.365171788,-1.235566549,0.022270179,1.769582278,0.080408108,0.795223791,-1.18922207
12/10/2011,2011,YR1,2011-12,notpeak,10,8,0.623648958,0.080958333,217.5851603,305.283364,7.815969881,39.41806201,0.321671087,0.014403385,66.82715842,45.55639611,0.167941899,6.647704026,0.379531562,0.407919647,25.89833982,8.428402689,349.6563051,53.47103687,14.6533022,-1.032346884,-0.286454187,1.889271768,0.735687361,0.86801008,-0.368810563
1/10/2012,2012,YR1,2012-01,notpeak,10,8,0.354006771,0.08259375,287.3194219,202.7649005,7.622602843,22.1941971,0.134049697,0.013910691,52.9695024,41.80537505,0.220360723,4.450307834,0.417850491,0.398691026,22.08043963,7.661072138,355.5303779,52.27224066,18.92847045,-1.063501616,-0.51388362,1.658302843,0.752475098,0.850822164,-0.159774303
2/10/2012,2012,YR1,2012-02,notpeak,10,8,0.641603472,0.066314815,165.2696036,NA,4.237269835,NA,0.296645504,0.011523564,79.34225334,NA,1.03834731,NA,0.598084331,0.507967411,19.03228321,7.045342438,256.8714664,45.95308558,14.73783144,-0.733716431,-0.713508061,1.44316458,0.424948279,0.753155178,-0.364113774
